Height,Width,CenterX,CenterY,Area,Perimeter,Compactness,MajorAxis,MinorAxis,Orientation,Eccentricity,HuMoment1,HuMoment2,HuMoment3,HuMoment4,HuMoment5,HuMoment6,HuMoment7,Class
252,264,124.8693003,202.8407228,9518,1875.711,0.9660043215,196.8110068,90.70385757,9.677241991,0.8874687951,0.4377652432,0.01429380641,0.0107458598,0.000416590932,-0.000000794748,-0.000049758178,-0.000000254234,1
249,261,124.1401274,201.7006369,10205,2018.695,0.9685311075,208.8573204,89.03371548,9.54296958,0.9045867169,0.4332280692,0.01101127662,0.008167868785,0.000213397868,-0.000000162537,-0.000020694284,-0.00000051551,1
251,256,129.0931775,196.5251265,11462,1961.441,0.9625613854,204.5257969,101.8015806,18.06603183,0.8673237347,0.386424849,0.011790882,0.007209795775,0.000321671695,-0.000000097929,-0.000021138133,-0.000000642154,1
376,295,135.6694937,58.3115523,15564,2039.876,0.9529972195,290.2334019,100.7319599,-1.897451393,0.9378383939,0.3756450429,0.008918805229,0.01293996991,0.003263346928,0.00001619285,0.00014022746,0.000011860156,1
377,334,150.1947843,133.0976441,41682,3033.806,0.943090758,306.5874364,275.4411968,-15.35874628,0.4391578311,0.282127679,0.00044987167,0.004104527959,0.000630410252,0.000000715246,0.000010843537,0.000001375775,1
381,335,148.4691615,143.3989578,52775,2679.625,0.9076386943,317.4226328,285.6907416,12.95265687,0.4358224205,0.2396888255,0.002257485365,0.003265661497,0.000310265025,0.00000018545,0.000007765704,0.000001264657,1
381,353,161.0226248,163.1191238,59669,3602.368,0.9422193436,375.168311,294.6227665,56.68717716,0.6191049717,0.2383475975,0.003193187333,0.003410476316,0.000159516179,0.000000076069,0.000004604056,0.00000111939,1
379,330,138.409991,161.4718918,58933,3165.665,0.9261010097,372.5899866,283.1405853,58.97871913,0.6500103265,0.2322504739,0.003868777535,0.003179527222,0.000233580859,0.000000135966,0.000008689819,0.000001142518,1
415,306,147.9901376,191.0998423,50089,6006.567,0.9825538511,410.7559947,248.5058195,87.89991796,0.7962283514,0.287599084,0.01780876784,0.00482406248,0.000186106787,0.000000169272,0.000024462005,0.000000049869,1
404,272,168.8816479,212.4179847,38377,4275.181,0.9736141024,404.7367661,211.153618,87.87964946,0.853125314,0.3102535833,0.02816760483,0.002521452877,0.000023194678,-0.000000004076,-0.000003061269,-0.000000035382,1
395,295,40.18538813,171.1031963,1095,428.924,0.9252065979,57.14732298,41.13439591,2.288269218,0.6941859883,0.3014735012,0.02535593592,0.001750323188,0.000035397197,-0.00000000554,0.000004176322,0.000000171178,1
368,275,40.22391858,132.059542,1965,425.079,0.8633426112,81.97427593,39.77563467,-31.46144252,0.8743915861,0.3307647732,0.0376391472,0.00106940701,0.000125119956,-0.000000007605,0.000012166837,0.000000264847,1
377,284,35.02336449,195.9244548,1284,263.579,0.7677513085,60.2397906,34.10615157,-9.733407862,0.8242863411,0.3542769494,0.04244887106,0.001650954536,0.001353949853,-0.000000389366,0.000278795606,-0.000002092836,1
358,293,29.15686275,209.0534759,1122,422.92,0.9211709534,59.53731381,37.39211231,-9.814422953,0.7781770215,0.3650587536,0.03936325305,0.007953248912,0.004513985001,0.000012770879,0.0008712209,-0.000019099557,1
342,252,22.31186033,32.11438892,1661,278.697,0.7312707693,70.63903572,36.92272899,72.38114402,0.8525192523,0.4569004814,0.1032525086,0.03577650736,0.01889181651,0.000471950845,0.005988844129,-0.000080952435,1
342,295,45.04912281,41.84853801,1710,472.906,0.9039148381,79.84449109,41.10625374,73.41408094,0.8572929342,0.6994816716,0.3267735978,0.03585148876,0.01434463349,0.000307279548,0.008102036172,-0.000105358231,1
337,310,35.23447016,41.79963459,1642,345.387,0.8270298976,74.31940513,37.79568393,82.13428318,0.8610280857,0.8858764855,0.6747692797,0.009704148048,0.007113606886,0.000058824686,0.005724570766,0.000041327969,1
317,308,20.1754386,35.42230576,1596,416.626,0.8844553044,73.76416856,34.23686838,80.90393853,0.8857620862,0.8398632088,0.49213291,0.009791220948,0.00034242207,-0.000000554534,0.000210657252,0.000007434122,1
293,251,68.10764007,92.53016412,8835,1219.55,0.9253521684,191.4910926,67.11534225,-59.89567198,0.9365671985,0.6595212789,0.339910512,0.04172929717,0.02200603804,0.000664459363,0.009785486557,0.0000344719,1
288,240,74.54745959,117.4640593,11199,2185.565,0.9705380387,275.3376539,80.36727834,-60.88034286,0.9564530363,0.6990397921,0.3879791006,0.03964650241,0.01627227714,0.000399621084,0.006307048908,-0.000099508481,1
316,292,148.5207679,172.254226,16564,3352.725,0.9814826336,404.6562269,124.0068596,-51.83883273,0.9518867894,0.6758899941,0.313426147,0.03710522897,0.002491606855,-0.000010992267,-0.000846841841,-0.000062846777,1
330,268,18.41103896,37.04675325,1540,336.332,0.828921984,74.4397923,33.03577833,86.16348088,0.8961298633,0.7868819637,0.4023056951,0.08038713062,0.03365033709,0.001700229829,0.02101599436,-0.000422890495,1
348,317,79.2675874,51.82347864,2317,494.35,0.8808574693,86.32514683,52.74711975,-80.05260672,0.7916086447,0.8576086578,0.6162252257,0.009317078814,0.003718960722,0.000020450531,0.002153368136,0.000004940312,1
333,258,43.54215004,38.8383604,2586,505.73,0.8729423113,81.6235182,50.80372718,88.94823437,0.7826871566,0.8365254527,0.5800193093,0.03541750121,0.005304296402,-0.000009393177,-0.00201166508,0.000055480775,1
337,251,43.73424658,43.19280822,2920,442.414,0.8125286131,90.45115867,50.81598185,-89.35890883,0.8272691757,0.9092014256,0.6789928086,0.06219223948,0.008971900745,-0.000061943648,-0.004552720269,0.000184940271,1
335,232,38.53593136,46.89667501,2797,526.356,0.8731346054,90.19337436,49.39449694,-87.21382251,0.8367068292,0.8612480362,0.5615224824,0.08921285544,0.008862545521,-0.00024874201,-0.006635115648,0.000012965449,1
350,243,139.0249206,219.2939337,20144,3783.712,0.9823184867,284.3521129,154.18974,62.73156286,0.8402176351,0.3772747739,0.04915115026,0.01385409261,0.004819938716,0.00002608597,0.00055365468,-0.00002693243,1
343,296,168.6182987,204.0219841,23335,4035.055,0.981989791,310.1007727,168.5528136,52.55849119,0.8393819311,0.373314812,0.05019942586,0.01314393356,0.004690811648,0.000028063788,0.00074295222,0.000021598519,1
348,307,165.4697863,184.3790909,27653,4007.824,0.9783660992,318.357239,194.2902444,49.60214204,0.7921780713,0.3190830507,0.0197080989,0.001209099165,0.001386400708,0.000000968574,0.000178292894,-0.000001656989,1
343,314,168.3946077,187.3792068,26297,3630.617,0.9749299502,319.0776945,162.476447,36.28556367,0.8606443547,0.2832099517,0.007545525035,0.001586683524,0.000045172958,-0.000000012088,0.00000379999,-0.000000091547,1
342,296,155.7245202,168.6233193,29229,4069.14,0.977817088,329.2562521,195.3461741,53.91680517,0.8049849272,0.2867748766,0.009051272003,0.002009248731,0.000016213587,-0.000000001763,0.000001122469,-0.000000102505,1
349,317,156.6502067,161.9469651,39672,5628.255,0.9842621128,344.3537845,245.4894486,68.96446121,0.7012667814,0.2817841358,0.008437846116,0.001774454008,0.000004983336,-0.000000000117,0.000000079739,0.000000049435,1
302,360,155.0285371,137.8781244,59011,2675.398,0.8963985003,366.1382529,257.6869633,27.39906936,0.7104012521,0.2123221468,0.005133218562,0.00094674832,0.000044873083,-0.000000007765,-0.000002762804,0.000000135464,1
248,392,183.3697302,129.1113887,53228,2426.711,0.8864168537,369.0528041,234.1540068,11.85806064,0.7729450988,0.2243036914,0.009129398076,0.000570220493,0.000073203116,0.000000014901,0.000005442159,0.000000014517,1
261,405,191.2140097,155.0781681,56161,2160.817,0.848849802,375.4746255,234.6742181,7.577895039,0.7806192543,0.2181800393,0.009140596967,0.000542096797,0.00006376604,0.000000011418,0.000003675319,0.000000016897,1
261,420,212.3409008,145.3512866,60082,2120.655,0.8321141077,383.7866601,241.8713836,1.918895429,0.7764137445,0.2140773587,0.008531001182,0.00057421345,0.000055257223,0.000000004727,-0.000000734525,0.000000008307,1
274,440,228.2380476,148.3642067,65029,2530.026,0.8723364341,404.9124497,249.8054091,1.465309991,0.7870126617,0.2175540881,0.00952589268,0.000519624848,0.000039870756,-0.000000000956,-0.000003145971,0.000000004774,1
284,466,243.9180575,146.2653356,67767,3560.88,0.9328395732,435.4664268,248.8835359,6.301696925,0.8205789179,0.2320321547,0.01387056398,0.000314214022,0.000017217869,-0.000000001266,-0.000001514251,-0.000000006174,1
331,406,201.067592,166.4235505,74062,3520.504,0.9249076639,428.8332199,262.2759647,33.13632381,0.7911643123,0.2132393205,0.009435714273,0.000600524734,0.000038168003,0.000000003834,0.00000248495,-0.000000001548,1
368,305,144.9275795,172.7438192,58326,1996.009,0.8160299751,372.3956022,276.3385801,65.59091727,0.6703373324,0.2304519505,0.004456056638,0.000958204873,0.000028172847,-0.000000002035,-0.000001770188,0.000000005122,1
370,307,146.5347942,172.3134018,57179,2450.539,0.8803471128,371.2055347,279.4824085,69.7096949,0.6581295044,0.2359995,0.004255064517,0.000908297439,0.000019418229,-0.000000001679,-0.000001260623,0.000000002187,1
380,301,159.6699817,195.4509193,55806,4121.351,0.9587131688,362.1205772,278.5058885,-80.57952054,0.639131942,0.233738992,0.003598847974,0.00036426396,0.000013711006,0.000000000802,-0.000000350803,0.00000000711,1
340,299,152.2175276,191.7452368,49442,2336.847,0.8862253949,344.6138702,281.9670184,-62.90799441,0.5749173892,0.2506359668,0.002463310108,0.000438115082,0.00002076626,-0.000000001679,-0.000000922123,0.00000000102,1
387,298,148.5364652,198.0614815,50747,3163.812,0.9362912771,371.390509,257.7796217,-64.88438251,0.7198851637,0.25171838,0.007749789757,0.000422464473,0.000057117429,-0.000000003201,-0.000002561226,-0.000000007164,1
361,254,60.34638965,85.57697548,2936,431.192,0.8015621441,105.7891442,42.54602965,-8.128810646,0.9155616506,0.3595683533,0.04140651943,0.000437829535,0.000523137494,0.000000225728,0.000105213666,-0.000000058798,1
338,246,48.29868228,63.63543192,2049,351.441,0.791528366,82.88618235,35.73283337,-9.929577206,0.9023006965,0.3941331929,0.04570078717,0.002102857866,0.00047825624,0.000000272313,0.000084188938,-0.00000030804,1
376,240,54.70154832,67.12733582,3746,836.421,0.9327135244,108.0418164,91.07916375,57.89813216,0.5379148307,0.4123350361,0.06729917167,0.003388461265,0.003314522435,0.000009969606,0.000859458393,-0.000002586725,1
